restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
KITCHEN + KOCKTAILS BY KEVIN KELLEY|210 E TRADE ST,0.39259868201767,0.39259868201767,90.0,1,2024-10-31,KITCHEN + KOCKTAILS BY KEVIN KELLEY,210 E TRADE ST,A
KONNICHIWA SUSHI STEAK SEAFOOD|1315 EAST BV,0.3919434381310558,0.6894988651868329,93.0,6,2024-10-07,KONNICHIWA SUSHI STEAK SEAFOOD,1315 EAST BV,A
HARVEY`S|13812 CINNABAR PL,0.3915517540382672,0.638115340742304,97.0,4,2024-09-18,HARVEY`S,13812 CINNABAR PL,A
CURRY GATE|630 W 24TH ST,0.3912891389269255,0.5350348113959271,90.0,6,2024-09-26,CURRY GATE,630 W 24TH ST,A
SAL'S PIZZA FACTORY|3723 MONROE RD,0.39080095285399735,0.6308375438717997,93.5,6,2024-08-29,SAL'S PIZZA FACTORY,3723 MONROE RD,A
WAFFLE HOUSE #1157|8220 PINEVILLE-MATTHEWS RD,0.3903611522089355,0.643075844876983,95.0,4,2024-10-24,WAFFLE HOUSE #1157,8220 PINEVILLE-MATTHEWS RD,A
GOOD FOOD EATERY BY FOOD GEEKS|5301 WILKINSON BV,0.3891808125402995,0.3891808125402995,94.0,1,2024-10-23,GOOD FOOD EATERY BY FOOD GEEKS,5301 WILKINSON BV,A
CARIBBEAN HUT|200 W WOODLAWN RD,0.38786776270662665,0.6014683689221212,94.5,7,2024-11-07,CARIBBEAN HUT,200 W WOODLAWN RD,A
SONIC #5701|265 MT HOLLY-HUNTERSVILLE RD,0.3874905970715818,0.7184397715722372,91.5,6,2024-10-22,SONIC #5701,265 MT HOLLY-HUNTERSVILLE RD,A
ZANZIBAR CAFE|3720 N TRYON ST,0.3871039934715211,0.7914199668387147,94.5,6,2024-10-10,ZANZIBAR CAFE,3720 N TRYON ST,A
EL TACO VELOZ|6701 N TRYON ST,0.3851453172157164,0.6513902958054625,93.5,5,2024-10-10,EL TACO VELOZ,6701 N TRYON ST,A
WENDY'S #7|3300 FREEDOM DR,0.381160348074831,0.7605458714862078,95.0,4,2024-11-01,WENDY'S #7,3300 FREEDOM DR,A
THE SPICE GARDEN|7128 ALBEMARLE RD,0.3808218318851926,0.6045483072615034,93.5,4,2024-12-03,THE SPICE GARDEN,7128 ALBEMARLE RD,A
LOS REYES DELI AND MEAT MARKET|4416 CENTRAL AV,0.3791619968921331,0.8037644222444296,89.0,6,2024-12-10,LOS REYES DELI AND MEAT MARKET,4416 CENTRAL AV,B
LA CATRACHA|820 E ARROWOOD RD,0.3788251266287884,0.7028059353114451,91.5,8,2024-12-05,LA CATRACHA,820 E ARROWOOD RD,A
IRIE NATION RESTAURANT|3501 S TRYON ST,0.37609768702455154,0.6991223936860468,84.5,7,2024-11-18,IRIE NATION RESTAURANT,3501 S TRYON ST,B
PINE ISLAND COUNTRY CLUB MAIN KITCHEN|1701 STONEYRIDGE DR,0.3730268050765499,0.3730268050765499,96.0,1,2024-11-04,PINE ISLAND COUNTRY CLUB MAIN KITCHEN,1701 STONEYRIDGE DR,A
SHESLEAS PIZZA AND PASTA|6453 ALBEMARLE RD,0.37296885398362845,0.5743047027153325,94.0,6,2024-09-13,SHESLEAS PIZZA AND PASTA,6453 ALBEMARLE RD,A
THOMAS STREET TAVERN|1218 THOMAS AV,0.37119975330743604,0.37119975330743604,94.0,1,2024-08-13,THOMAS STREET TAVERN,1218 THOMAS AV,A
POPEYES #11520|3318 WILKINSON BV,0.3704322792183683,0.6331544499067366,92.0,6,2024-11-04,POPEYES #11520,3318 WILKINSON BV,A
CINERGY 109|5336 DOCIA CROSSING RD,0.37028570981379155,0.7512499228229186,94.5,6,2024-08-21,CINERGY 109,5336 DOCIA CROSSING RD,A
BROOKLYN PICKLES|1021 MOREHEAD MEDICAL DR,0.36795308923632947,0.36795308923632947,93.5,1,2024-11-15,BROOKLYN PICKLES,1021 MOREHEAD MEDICAL DR,A
PHO UNIVERSITY|8932 J M KEYNES DR,0.3679348891695494,0.7422828268507572,98.5,7,2024-11-18,PHO UNIVERSITY,8932 J M KEYNES DR,A
HARLEM NIGHTS RESTAURANT|9539 PINNACLE DR,0.3668236829773834,0.3668236829773834,91.5,1,2024-12-05,HARLEM NIGHTS RESTAURANT,9539 PINNACLE DR,A
COSTA DEL SOL|8045 SOUTH BV,0.36653559126597685,0.42303981584752304,95.5,5,2024-10-15,COSTA DEL SOL,8045 SOUTH BV,A
OAK STEAKHOUSE|4777 SHARON RD,0.3659275490690896,0.656157320241871,95.5,5,2024-07-05,OAK STEAKHOUSE,4777 SHARON RD,A
CRACKER BARREL|3203 QUEEN CITY DR,0.36588654013429284,0.576695541607672,97.0,7,2024-11-08,CRACKER BARREL,3203 QUEEN CITY DR,A
P F CHANGS CHINA BISTRO|6809 PHILLIPS PLACE CT,0.3645676985797245,0.5197321262994267,94.5,5,2024-10-24,P F CHANGS CHINA BISTRO,6809 PHILLIPS PLACE CT,A
BAOBAO AUTHENTIC CHINESE RESTAURANT|9715 SAM FURR RD,0.36380250660308705,0.6216643991154569,98.5,7,2024-08-13,BAOBAO AUTHENTIC CHINESE RESTAURANT,9715 SAM FURR RD,A
MEZEH MEDITERRANEAN GRILL UNCC|8926 J M KEYNES DR,0.36068900135125126,0.5998801075389196,94.5,5,2024-11-01,MEZEH MEDITERRANEAN GRILL UNCC,8926 J M KEYNES DR,A
